t_s,x,y,heading,bump,bump_strength,energy,hunger,arousal,spikes,active,drive_l,drive_r,kc,kc_active,mbon,cx,modulation,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,da_max,elig_mean,depressed,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,on_food,on_hazard
0.005,0.01634914241731167,0.0073094856925308704,0.0,-0.40256215534970125,0.9988868510511884,0.9999,9.999999999998899e-05,0.0,17,17,1.0,1.0,0.0,0,0.0,2.0,5.334213142305089e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07402185040215652,0.07390081261595091,0.03389257937669754,0.03381420547763507,0.0,0.0,0.0,False,False
0.01,0.016796233132481575,0.007186264730989933,-0.0005088300677016377,0.04559798173532613,0.8522286870408672,0.9998,0.00019999999999997797,0.0,16,16,1.0,1.0,0.0,0,0.0,6.0,2.391918087596423e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07405160345944266,0.0739256698464354,0.03387152993430694,0.03379499539732933,0.0,0.0,0.0,False,False
0.015,0.055618010461330414,0.007244110573083162,-0.001039964845404029,-0.05268016962134318,0.8865964022423666,0.9997,0.00029999999999996696,0.0,168,161,1.0,1.0,0.0,0,0.0,7.0,2.5242827177862637e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07412371669337153,0.07398537831567227,0.03378094484408697,0.03370910262068113,0.0,0.0,0.06566192626953125,False,False
0.02,0.1340610235929489,0.0032653934322297573,-0.008780107833445072,-0.2832282545878622,0.7106658732678992,0.9996,0.00039999999999995595,0.0,74,72,1.0,1.0,0.0,0,0.0,9.0,4.5280918129719794e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07456628817971796,0.07437882502035549,0.033641575525204345,0.033583881643911205,0.0,0.0,0.018277143239974977,False,False
0.025,0.16855183243751526,-0.015332525596022606,-0.00916608702391386,-0.21722948750269053,0.9001784360642487,0.9995,0.0004999999999999449,0.0,117,116,1.0,1.0,0.0,0,0.0,12.0,0.00030906472238712013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07467017301544547,0.0744733865869542,0.03359922828773658,0.03354456586142381,0.0,0.0,0.01656692743301392,False,False
0.03,0.1831636130809784,-0.014615540392696857,-0.008488910272717476,0.07460512480929117,0.8014712403525243,0.9994000000000001,0.0005999999999999339,0.0,79,78,1.0,1.0,0.0,0,0.0,13.0,0.00036513881059363484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07479649284854531,0.07459103664848953,0.03356298742194971,0.033511072397232056,0.0,0.0,0.01608288288116455,False,False
0.035,0.20784468948841095,-0.0032055778428912163,-0.0007555620395578444,0.26722395259591425,0.8183293824919414,0.9993000000000001,0.0006999999999999229,0.0,75,73,1.0,1.0,0.0,0,0.0,16.0,0.00036772273597307503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.074932108660539,0.07473046817009649,0.03352601702014606,0.033470919976631805,0.0,0.0,0.011671748161315918,False,False
0.04,0.23695340752601624,0.001934943487867713,-0.006050031632184982,0.3408337748957807,0.6414754951663194,0.9992000000000001,0.0007999999999999119,0.0,67,67,1.0,1.0,0.0,0,0.0,15.0,0.0004039380874019116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07509409389769038,0.0748677949560806,0.033470094203948975,0.03342124167829752,0.0,0.0,0.01256680965423584,False,False
0.045,0.2369312345981598,0.048443008214235306,0.007377976551651955,-0.30512894113988515,0.9988304482912596,0.9991000000000001,0.0008999999999999009,0.0,74,73,1.0,1.0,0.0,0,0.0,12.0,0.0004232334904372692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07508882562071086,0.07488905556499958,0.033481313536564514,0.033422455502053104,0.0,0.0,0.01649080753326416,False,False
0.05,0.21363364160060883,0.10650233924388885,0.07409507781267166,0.4426090144995964,0.8865709913693249,0.9990000000000001,0.0009999999999998899,0.0,70,68,1.0,1.0,0.0,0,0.0,14.0,0.0004438947653397918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07491767367596427,0.07485067306738347,0.03357610820482175,0.03346147481352091,0.0,0.0,0.014117021560668946,False,False
