t_s,x,y,heading,energy,spikes,active,drive_l,drive_r,kc,mbon,cx,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,in_vision_l,in_vision_r,on_food,on_hazard
0.005,0.01634914241731167,0.0073094856925308704,-0.0013030660338699818,0.9999,956,907,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07402185040215652,0.07390081261595091,0.03389257937669754,0.03381420547763507,0.0,0.0,0.0,0.15,0.15,False,False
0.01,0.01577470265328884,0.0069918157532811165,-0.005692912265658379,0.9998,929,880,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07403858937323093,0.073911693568031,0.033873229598005615,0.03379701791952054,0.0,0.0,0.0,0.15,0.15,False,False
0.015,0.024792665615677834,0.00037806088221259415,-0.010462919250130653,0.9997,1048,999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07391987678905329,0.0737898051738739,0.033829452780385814,0.03375731408596039,0.0,0.0,0.047409191131591796,0.15,0.15,False,False
0.02,0.026384178549051285,-0.06114291772246361,-0.015626100823283195,0.9996,1016,967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0738975623001655,0.07375698847075304,0.03380779176950455,0.03374133414278428,0.0,0.0,0.015610278844833375,0.15,0.15,False,False
0.025,0.041494183242321014,-0.04956218600273132,-0.024182772263884544,0.9995,998,947,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0739259614298741,0.07377644379933676,0.03379473462700844,0.03373260299364726,0.0,0.0,0.014868221282958985,0.15,0.15,False,False
0.03,0.0798354372382164,-0.056111376732587814,0.0015011284267529845,0.9994000000000001,1051,995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07412998316188654,0.07394618044296901,0.03372345585376024,0.03367132352044185,0.0,0.0,0.013366804122924805,0.15,0.15,False,False
0.035,0.1021033227443695,-0.030337922275066376,0.0027228877879679203,0.9993000000000001,982,944,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07421724187831084,0.07407207662860553,0.033700536005198956,0.033633094280958176,0.0,0.0,0.015597963333129882,0.15,0.15,False,False
0.04,0.1354011595249176,-0.04271065443754196,0.0016053031431511045,0.9992000000000001,1011,954,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07439158546427886,0.07423656682173412,0.03363649205615123,0.03357337787747383,0.0,0.0,0.014239575862884522,0.15,0.15,False,False
0.045,0.1748640537261963,-0.07109584659337997,0.01044126134365797,0.9991000000000001,1026,977,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07461250138779482,0.07443529553711414,0.03355960361659527,0.03350338743378719,0.0,0.0,0.018196372985839846,0.15,0.15,False,False
0.05,0.21133312582969666,-0.06159891560673714,0.015311126597225666,0.9990000000000001,1102,1059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07479033743341765,0.07461520843207836,0.03350385775168737,0.033445969844857856,0.0,0.0,0.027307393550872805,0.15,0.15,False,False
0.055,0.26300671696662903,-0.07437242567539215,0.007600321900099516,0.9989000000000001,1077,1023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07505438600977263,0.07486701322098574,0.03342189981291692,0.03336643955359857,0.0,0.0,0.0175835657119751,0.15,0.15,False,False
0.06,0.3327692151069641,-0.09355872124433517,0.010676970705389977,0.9988000000000001,987,930,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07537391347189745,0.07514921637872855,0.033313948661088943,0.03327247221022844,0.0,0.0,0.013127149343490602,0.15,0.15,False,False
